2026-06-01 05:05:28,767 | INFO | __main__ | Logger test started
2026-06-01 05:05:28,768 | WARNING | __main__ | This is a warning
2026-06-01 05:05:28,768 | ERROR | __main__ | This is an error
2026-06-01 05:05:28,769 | INFO | __main__ | Logger test completed
2026-06-01 11:03:41,621 | INFO | src.ingestion.complaints.download_cfpb | Starting CFPB download from 2025-01-01 to 2025-01-31
2026-06-01 11:03:41,622 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 1)
2026-06-01 11:04:33,590 | ERROR | src.ingestion.complaints.download_cfpb | Attempt 1 failed: 503 Server Error: Service Unavailable for url: https://www.consumerfinance.gov/data-research/consumer-complaints/search/api/v1/?date_received_min=2025-01-01&date_received_max=2025-01-31&size=10000
2026-06-01 11:04:38,603 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 2)
2026-06-01 11:04:53,087 | ERROR | src.ingestion.complaints.download_cfpb | Attempt 2 failed: Mixing dicts with non-Series may lead to ambiguous ordering.
2026-06-01 11:04:58,088 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 3)
2026-06-01 11:04:58,933 | ERROR | src.ingestion.complaints.download_cfpb | Attempt 3 failed: Mixing dicts with non-Series may lead to ambiguous ordering.
2026-06-01 12:11:25,856 | INFO | src.ingestion.complaints.download_cfpb | Starting CFPB download from 2025-01-01 to 2025-01-31
2026-06-01 12:11:25,856 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 1)
2026-06-01 12:11:36,955 | ERROR | src.ingestion.complaints.download_cfpb | Attempt 1 failed: HTTPSConnectionPool(host='www.consumerfinance.gov', port=443): Max retries exceeded with url: /data-research/consumer-complaints/search/api/v1/?date_received_min=2025-01-01&date_received_max=2025-01-31&format=csv&no_aggs=true (Caused by NameResolutionError("HTTPSConnection(host='www.consumerfinance.gov', port=443): Failed to resolve 'www.consumerfinance.gov' ([Errno 11001] getaddrinfo failed)"))
2026-06-01 12:11:36,956 | INFO | src.ingestion.complaints.download_cfpb | Waiting 5 seconds before retrying...
2026-06-01 12:12:12,998 | INFO | src.ingestion.complaints.download_cfpb | Starting CFPB download from 2025-01-01 to 2025-01-31
